n, Fibonacci, Время выполнения (мс)
0, 0, 0
1, 1, 0
2, 1, 0
3, 2, 0
4, 3, 0
5, 5, 0
6, 8, 0
7, 13, 0
8, 21, 0
9, 34, 0
10, 55, 0
11, 89, 0
12, 144, 0
13, 233, 0
14, 377, 0
15, 610, 0
16, 987, 0
17, 1597, 0
18, 2584, 0
19, 4181, 0
20, 6765, 1
21, 10946, 0
22, 17711, 0
23, 28657, 2
24, 46368, 2
25, 75025, 3
26, 121393, 5
27, 196418, 5
28, 317811, 7
29, 514229, 15
30, 832040, 22
31, 1346269, 38
32, 2178309, 51
33, 3524578, 111
34, 5702887, 160
35, 9227465, 153
36, 14930352, 363
37, 24157817, 670
38, 39088169, 887
39, 63245986, 1094
